What is the capital of Canada?|Ottawa
What is 2 + 2?|4
What is the color of the sky on a clear day?|Blue
Name a programming language starting with J?|Java
What is the largest planet in our solar system?|Jupiter
What is the chemical symbol for water?|H2O
Who wrote "Hamlet"?|Shakespeare
What is 5 x 6?|30
What is the freezing point of water in Celsius?|0
What is the largest ocean on Earth?|Pacific
What number comes after 1?|2
What number comes after 2?|3
What number comes after 3?|4
What number comes after 4?|5
What number comes after 5?|6
What number comes after 6?|7
What number comes after 7?|8
What number comes after 8?|9
What number comes after 9?|10
What number comes after 10?|11
What number comes after 11?|12
What number comes after 12?|13
What number comes after 13?|14
What number comes after 14?|15
What number comes after 15?|16
What number comes after 16?|17
What number comes after 17?|18
What number comes after 18?|19
What number comes after 19?|20
What number comes after 20?|21
What number comes after 21?|22
What number comes after 22?|23
What number comes after 23?|24
What number comes after 24?|25
What number comes after 25?|26
What number comes after 26?|27
What number comes after 27?|28
What number comes after 28?|29
What number comes after 29?|30
What number comes after 30?|31
What number comes after 31?|32
What number comes after 32?|33
What number comes after 33?|34
What number comes after 34?|35
What number comes after 35?|36
What number comes after 36?|37
What number comes after 37?|38
What number comes after 38?|39
What number comes after 39?|40
What number comes after 40?|41
What number comes after 41?|42
What number comes after 42?|43
What number comes after 43?|44
What number comes after 44?|45
What number comes after 45?|46
What number comes after 46?|47
What number comes after 47?|48
What number comes after 48?|49
What number comes after 49?|50
What number comes after 50?|51
What number comes after 51?|52
What number comes after 52?|53
What number comes after 53?|54
What number comes after 54?|55
What number comes after 55?|56
What number comes after 56?|57
What number comes after 57?|58
What number comes after 58?|59
What number comes after 59?|60
What number comes after 60?|61
What number comes after 61?|62
What number comes after 62?|63
What number comes after 63?|64
What number comes after 64?|65
What number comes after 65?|66
What number comes after 66?|67
What number comes after 67?|68
What number comes after 68?|69
What number comes after 69?|70
What number comes after 70?|71
What number comes after 71?|72
What number comes after 72?|73
What number comes after 73?|74
What number comes after 74?|75
What number comes after 75?|76
What number comes after 76?|77
What number comes after 77?|78
What number comes after 78?|79
What number comes after 79?|80
What number comes after 80?|81
What number comes after 81?|82
What number comes after 82?|83
What number comes after 83?|84
What number comes after 84?|85
What number comes after 85?|86
What number comes after 86?|87
What number comes after 87?|88
What number comes after 88?|89
What number comes after 89?|90
What number comes after 90?|91
What number comes after 91?|92
What number comes after 92?|93
What number comes after 93?|94
What number comes after 94?|95
What number comes after 95?|96
What number comes after 96?|97
What number comes after 97?|98
What number comes after 98?|99
What number comes after 99?|100
What number comes after 100?|101
